legal_status,area,price,bedrooms,toilets,latitude,longitude,area_per_bedroom
0.0,250.0,27.5,4.0,5.0,10.835247993469238,106.8302230834961,62.5
0.0,50.0,3.8,2.0,1.0,10.809240341186523,106.67232513427734,25.0
1.0,166.0,9.25,2.0,2.0,20.9876883835504,105.800669322955,83.0
1.0,128.0,5.2,4.0,3.0,20.9464588165283,105.855781555176,32.0
0.0,129.0,7.9,3.0,2.0,10.803988456726074,106.61737060546875,43.0
1.0,73.2,3.9162000000000003,2.0,2.0,16.0890197753906,108.228302001953,36.6
1.0,62.0,6.04,2.0,2.0,21.115686416625977,105.87013244628906,31.0
1.0,72.0,5.0,2.0,2.0,21.00580596923828,105.79437255859375,36.0
1.0,60.0,2.2,2.0,1.0,10.5858039855957,107.055107116699,30.0
1.0,84.0,6.5,3.0,2.0,21.006206512451172,105.73707580566406,28.0
1.0,54.0,3.7,2.0,2.0,20.9733200073242,105.778282165527,27.0
1.0,94.0,13.5,2.0,2.0,10.782441139221191,106.71935272216797,47.0
1.0,160.0,16.0,4.0,4.0,20.994333267211914,105.86756134033203,40.0
0.0,128.0,7.8,3.0,2.0,10.8039884567261,106.617370605469,42.666666666666664
1.0,61.5,3.8,2.0,2.0,20.99480628967285,105.94648742675781,30.75
0.0,48.1,3.2227,1.0,1.0,21.005226135253906,105.7389144897461,48.1
1.0,153.0,8.721,2.0,2.0,21.0083656311035,105.802909851074,76.5
1.0,47.0,1.19,1.0,1.0,15.982179641723633,108.25960540771484,47.0
1.0,99.0,5.5,2.0,2.0,10.7386236190796,106.70059967041,49.5
0.0,45.3,3.06,1.0,1.0,20.951213836669922,105.98468017578125,45.3
0.0,81.0,7.3,2.0,2.0,10.7536773681641,106.690460205078,40.5
1.0,97.0,7.2,3.0,2.0,21.0914440155029,105.784721374512,32.333333333333336
1.0,55.0,3.4,2.0,1.0,21.008962631225586,105.74391174316406,27.5
0.0,45.8,2.37,1.0,1.0,10.788448333740234,106.75196838378906,45.8
1.0,220.0,23.1,3.0,4.0,10.778650283813477,106.756591796875,73.33333333333333
0.0,108.0,7.5,3.0,3.0,21.075103759765625,105.69818878173828,36.0
1.0,65.0,5.35,3.0,2.0,21.004818,105.80467,21.666666666666668
1.0,80.0,4.35,3.0,2.0,20.97145652770996,105.82817077636719,26.666666666666668
0.0,105.0,6.6,2.0,2.0,10.777285736191,106.755612755423,52.5
1.0,77.97,2.88,2.0,2.0,22.46401023864746,103.97821807861328,38.985
1.0,86.0,2.16,3.0,2.0,10.906654357910156,106.74201202392578,28.666666666666668
1.0,137.0,13.5,3.0,2.0,21.0229530334473,105.809814453125,45.666666666666664
1.0,79.4,3.9,2.0,2.0,20.9744720458984,105.760879516602,39.7
1.0,103.0,8.46,3.0,2.0,20.9984378814697,105.866737365723,34.333333333333336
0.0,78.0,2.95,3.0,2.0,20.9397029876709,105.7872543334961,26.0
1.0,147.0,7.5,3.0,2.0,10.73862361907959,106.70059967041016,49.0
1.0,101.0,8.5,3.0,2.0,21.066110610961914,105.79805755615234,33.666666666666664
1.0,77.0,5.5,2.0,2.0,21.0589373687135,105.86788764449,38.5
1.0,92.0,5.2,3.0,2.0,21.0919170379639,105.785003662109,30.666666666666668
1.0,60.0,3.5,2.0,2.0,20.973093032836914,105.83837127685547,30.0
1.0,106.0,7.6,3.0,2.0,21.0365676879883,105.760482788086,35.333333333333336
1.0,140.0,7.61,3.0,3.0,10.7396841049194,106.628089904785,46.666666666666664
1.0,135.0,8.5,3.0,3.0,10.8053359985352,106.751731872559,45.0
1.0,84.0,2.6,2.0,2.0,10.706522941589355,106.59969329833984,42.0
1.0,74.0,4.8,2.0,2.0,20.9585018157959,105.82634735107422,37.0
1.0,80.0,3.7,3.0,2.0,20.99761199951172,105.809326171875,26.666666666666668
1.0,59.0,2.3,2.0,1.0,10.8370094299316,106.838989257813,29.5
0.0,151.0,12.9,4.0,3.0,21.0052261352539,105.805061340332,37.75
1.0,60.3,2.8,2.0,2.0,10.7715215682983,106.773391723633,30.15
0.0,54.37,1.16,2.0,2.0,19.7828463194663,105.771381459511,27.185
1.0,124.0,7.5,3.0,2.0,10.7938528060913,106.717842102051,41.333333333333336
1.0,32.0,2.7,2.0,2.0,21.006216049194336,105.7364730834961,16.0
1.0,48.0,1.95,2.0,1.0,21.0357312212218,105.778966997207,24.0
0.0,296.0,38.0,4.0,6.0,10.77865,106.75659,74.0
0.0,50.0,1.65,1.0,1.0,10.8267154693604,106.756912231445,50.0
1.0,73.0,4.99,2.0,2.0,10.704007148742676,106.71265411376953,36.5
1.0,111.0,9.2,3.0,3.0,21.0663948512699,105.826606657022,37.0
1.0,110.0,10.45,3.0,2.0,21.036239624023438,105.7853775024414,36.666666666666664
0.0,67.5,3.4,2.0,2.0,20.999387741088867,105.80726623535156,33.75
1.0,162.0,8.8,3.0,3.0,10.7386236190796,106.70059967041,54.0
0.0,50.0,3.8,1.0,1.0,10.803822,106.74673,50.0
1.0,75.0,4.7,3.0,2.0,21.008852005004883,105.7439193725586,25.0
1.0,55.0,2.9,1.0,1.0,10.727764129638672,106.70145416259766,55.0
1.0,131.0,7.0,3.0,2.0,21.02819061279297,105.7791976928711,43.666666666666664
0.0,42.5,3.0,1.0,1.0,21.011585235595703,105.73583984375,42.5
1.0,180.0,18.8,4.0,2.0,21.0728492736816,105.812431335449,45.0
1.0,54.0,3.9,2.0,2.0,20.99988555908203,105.95375061035156,27.0
1.0,70.0,3.1,2.0,2.0,10.841276168823242,106.8386001586914,35.0
