area,price,bedrooms,toilets,legal_status,latitude,longitude,price_square,furniture,house_direction_x,house_direction_y,balcony_direction_x,balcony_direction_y,location_group
166.0,9.25,2,2,1,20.9876883835504,105.800669322955,55.72289156626506,1,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
128.0,5.2,4,3,1,20.9464588165283,105.855781555176,40.625,2,-1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,0
62.0,6.04,2,2,1,21.115686416625977,105.87013244628906,97.41935483870968,1,-1.8369701987210297e-16,-1.0,-1.0,1.2246467991473532e-16,2
72.0,5.0,2,2,1,21.00580596923828,105.79437255859375,69.44444444444444,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
84.0,6.5,3,2,3,21.006206512451172,105.73707580566406,77.38095238095238,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
54.0,3.7,2,2,1,20.9733200073242,105.778282165527,68.51851851851852,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
160.0,16.0,4,4,1,20.994333267211914,105.86756134033203,100.0,1,6.123233995736766e-17,1.0,-0.7071067811865475,0.7071067811865476,0
61.5,3.8,2,2,1,20.99480628967285,105.94648742675781,61.788617886178855,1,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
48.1,3.2227,1,1,0,21.005226135253906,105.7389144897461,67.0,2,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
153.0,8.721,2,2,1,21.0083656311035,105.802909851074,57.0,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
97.0,7.2,3,2,3,21.0914440155029,105.784721374512,74.22680412371135,2,-1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,0
55.0,3.4,2,1,1,21.008962631225586,105.74391174316406,61.81818181818181,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
108.0,7.5,3,3,0,21.075103759765625,105.69818878173828,69.44444444444444,1,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
65.0,5.35,3,2,1,21.004818,105.80467,82.3076923076923,2,-1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,0
80.0,4.35,3,2,1,20.97145652770996,105.82817077636719,54.37499999999999,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
137.0,13.5,3,2,3,21.0229530334473,105.809814453125,98.54014598540147,2,0.7071067811865474,-0.7071067811865477,-1.8369701987210297e-16,-1.0,0
79.4,3.9,2,2,1,20.9744720458984,105.760879516602,49.1183879093199,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
103.0,8.46,3,2,3,20.9984378814697,105.866737365723,82.1359223300971,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
78.0,2.95,3,2,0,20.9397029876709,105.7872543334961,37.820512820512825,2,-0.7071067811865475,0.7071067811865476,6.123233995736766e-17,1.0,0
101.0,8.5,3,2,3,21.066110610961914,105.79805755615234,84.15841584158416,2,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
77.0,5.5,2,2,1,21.0589373687135,105.86788764449,71.42857142857143,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
92.0,5.2,3,2,1,21.0919170379639,105.785003662109,56.52173913043478,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
60.0,3.5,2,2,3,20.973093032836914,105.83837127685547,58.333333333333336,2,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
106.0,7.6,3,2,1,21.0365676879883,105.760482788086,71.69811320754717,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
74.0,4.8,2,2,1,20.9585018157959,105.82634735107422,64.86486486486487,2,-1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,0
80.0,3.7,3,2,3,20.99761199951172,105.809326171875,46.25,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
151.0,12.9,4,3,3,21.0052261352539,105.805061340332,85.43046357615894,2,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
32.0,2.7,2,2,3,21.006216049194336,105.7364730834961,84.375,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
48.0,1.95,2,1,3,21.0357312212218,105.778966997207,40.625,2,6.123233995736766e-17,1.0,-0.7071067811865475,0.7071067811865476,0
111.0,9.2,3,3,1,21.0663948512699,105.826606657022,82.88288288288288,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,2
110.0,10.45,3,2,3,21.036239624023438,105.7853775024414,94.99999999999999,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
67.5,3.4,2,2,0,20.999387741088867,105.80726623535156,50.370370370370374,1,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
75.0,4.7,3,2,1,21.008852005004883,105.7439193725586,62.666666666666664,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
131.0,7.0,3,2,1,21.02819061279297,105.7791976928711,53.43511450381679,2,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,0
42.5,3.0,1,1,3,21.011585235595703,105.73583984375,70.58823529411765,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
180.0,18.8,4,2,3,21.0728492736816,105.812431335449,104.44444444444446,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,2
54.0,3.9,2,2,1,20.99988555908203,105.95375061035156,72.22222222222221,2,-1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,0
89.53,5.43,2,2,0,21.052268981933594,105.88481140136719,60.65006143192226,1,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
96.87,6.4,3,2,0,21.052268981933594,105.88481140136719,66.06792608650768,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
67.0,2.39,2,2,0,20.9397029876709,105.7872543334961,35.67164179104478,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
145.0,13.0,3,3,1,20.9978960218421,105.804006583788,89.6551724137931,2,-1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,0
43.0,2.35,1,1,1,21.0024147033691,105.964111328125,54.651162790697676,2,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
75.0,7.4,3,2,1,21.115686416625977,105.87013244628906,98.66666666666667,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,2
49.0,6.5,2,2,1,21.0224476107199,105.846978779274,132.65306122448982,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,1
55.0,2.89,2,1,3,20.9765451909255,105.847209457871,52.54545454545455,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
99.0,6.8,3,2,1,21.0786514282227,105.802612304688,68.68686868686868,2,1.0,0.0,-1.0,1.2246467991473532e-16,2
76.0,4.5,2,2,1,21.035978317260742,105.90629577636719,59.21052631578947,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
80.0,2.7,3,2,3,20.99761199951172,105.809326171875,33.75,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
136.3,16.5,2,2,3,21.016826629638672,105.81522369384766,121.05649303008069,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
43.0,2.795,1,1,3,20.99955177307129,105.9386215209961,65.0,2,-0.7071067811865477,-0.7071067811865475,-1.8369701987210297e-16,-1.0,0
68.0,3.2,2,2,1,21.00241470336914,105.964111328125,47.05882352941176,2,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
47.5,2.7,1,1,3,21.0062160491943,105.736473083496,56.8421052631579,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
113.5,10.5,3,2,1,21.065017700195312,105.79893493652344,92.51101321585902,2,1.0,0.0,0.7071067811865476,0.7071067811865475,0
66.0,4.2,2,2,1,21.052398681640625,105.78018188476562,63.63636363636364,2,-1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,0
280.0,45.0,4,3,1,21.0411720275879,105.825096130371,160.71428571428572,2,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,2
117.0,6.6,3,2,1,20.9870262145996,105.786834716797,56.4102564102564,2,0.7071067811865474,-0.7071067811865477,-1.8369701987210297e-16,-1.0,0
90.0,6.0,3,2,1,21.0495662689209,105.77859497070312,66.66666666666667,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
59.0,2.8,2,2,1,21.008392333984375,105.7302474975586,47.45762711864406,2,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
105.0,8.1,3,2,1,21.0412406921387,105.807846069336,77.14285714285714,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,2
97.3,12.43,2,2,1,21.0104732513428,105.849258422852,127.7492291880781,2,-1.8369701987210297e-16,-1.0,-0.7071067811865477,-0.7071067811865475,0
65.0,4.2,2,2,0,20.98483657836914,105.85985565185547,64.61538461538461,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
56.0,2.2,2,2,3,20.9732913970947,105.820007324219,39.28571428571429,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
130.0,7.2,4,3,0,21.0314269340997,105.779677869228,55.38461538461539,2,-1.0,1.2246467991473532e-16,0.7071067811865474,-0.7071067811865477,0
600.0,70.0,5,4,1,21.0294078579542,105.823733515723,116.66666666666667,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,2
72.0,3.1,2,1,3,20.9994716644287,105.72045135498,43.05555555555556,2,-1.8369701987210297e-16,-1.0,-1.0,1.2246467991473532e-16,0
130.0,6.3,4,3,2,20.9966850280762,105.873847961426,48.46153846153846,2,-0.7071067811865475,0.7071067811865476,-1.0,1.2246467991473532e-16,0
70.0,3.33,2,1,1,20.943979263305664,105.85543823242188,47.57142857142857,1,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
48.0,2.5,2,1,1,21.00241470336914,105.964111328125,52.083333333333336,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
46.0,2.28,1,1,1,21.001050018173,105.966970546901,49.565217391304344,2,0.7071067811865474,-0.7071067811865477,-1.0,1.2246467991473532e-16,0
