area,price,longitude,latitude,legal,furniture,frontage,floor,bedroom,toilet
140.0,45.0,105.811,21.072136,1.0,1.0,,,,
80.0,10.0,105.86279,20.87157,1.0,1.0,5.0,5.0,,
71.0,19.5,105.963328686308,21.0021805977008,1.0,0.0,,,,
250.0,16.6,105.870132446289,21.115686416626,1.0,2.0,,5.0,6.0,
198.0,42.0,105.755321570733,20.9809517428101,1.0,0.0,9.0,4.0,4.0,4.0
45.0,11.5,105.817639545669,21.0143491497308,1.0,2.0,4.2,6.0,3.0,4.0
30.0,8.0,105.794524563045,21.0229696405357,,2.0,4.6,5.0,3.0,3.0
93.0,62.0,105.847031713995,21.0349805492444,1.0,0.0,4.2,3.0,,
70.0,12.9,105.756294250488,20.9567356109619,1.0,0.0,4.0,5.0,4.0,5.0
120.0,59.0,105.822947683712,21.0161308478773,1.0,2.0,20.0,10.0,20.0,20.0
138.0,60.0,105.81436920166016,20.975292205810547,1.0,3.0,,5.0,5.0,5.0
45.0,9.4,105.861582202134,20.9961787749052,1.0,2.0,5.0,6.0,10.0,
46.0,12.9,105.871694351198,21.0463914798199,1.0,2.0,4.0,4.0,4.0,4.0
65.0,15.5,105.866730735957,21.0498235069834,1.0,2.0,4.6,6.0,3.0,
35.0,7.1,105.788382130827,21.0315147811019,1.0,2.0,,6.0,,
37.0,8.15,105.809010470122,21.0537324628834,1.0,1.0,,5.0,4.0,4.0
33.0,4.1,105.715634990495,21.0546449680503,1.0,2.0,4.6,3.0,2.0,3.0
16.0,1.8,105.844283355407,20.9916941894107,,1.0,3.0,3.0,2.0,1.0
53.0,10.8,105.863623403449,21.0138151546735,1.0,2.0,37.0,5.0,8.0,9.0
50.0,10.8,105.886303728566,21.048957888217,1.0,2.0,,4.0,4.0,4.0
46.0,13.3,105.871593870152,21.0472084695131,1.0,2.0,,4.0,4.0,3.0
32.0,7.6,105.866832850909,21.0495913235323,1.0,1.0,4.0,,,
40.0,9.85,105.809205470746,21.0612229481844,1.0,1.0,4.0,5.0,3.0,3.0
32.0,2.24,105.717271416209,20.9309402707046,1.0,2.0,4.0,4.0,3.0,4.0
42.0,3.75,105.691340042488,21.0140841834477,1.0,1.0,4.0,4.0,4.0,3.0
38.0,4.5,105.717913486218,20.9436882587079,1.0,1.0,15.0,4.0,4.0,4.0
33.0,4.1,105.715634990495,21.0546449680503,1.0,2.0,4.6,3.0,2.0,3.0
62.0,21.9,105.802924783285,21.0472868043238,1.0,2.0,5.1,7.0,4.0,6.0
32.0,2.23,105.717295886823,20.9311617868343,1.0,1.0,,4.0,4.0,3.0
28.0,5.8,105.838838031594,21.0012243954253,1.0,1.0,,6.0,4.0,4.0
39.3,7.38,105.837651413966,21.026531166836,1.0,1.0,4.0,3.0,3.0,2.0
90.0,34.0,105.810412494074,21.0346519319776,1.0,2.0,6.2,4.0,4.0,3.0
55.0,29.5,105.800929112997,20.9991029139773,1.0,2.0,15.0,7.0,6.0,6.0
30.0,6.0,105.830769655041,21.0288453205041,1.0,2.0,11.0,4.0,3.0,3.0
50.0,10.2,105.776777888308,21.0114292673204,1.0,2.0,,5.0,5.0,5.0
31.0,8.2,105.785733148543,21.0730976064984,1.0,2.0,5.0,6.0,4.0,4.0
33.0,6.85,105.855787714365,21.00272531947,1.0,1.0,3.6,5.0,3.0,4.0
34.0,7.8,105.818602508322,20.9869047022243,1.0,2.0,,5.0,5.0,
39.0,6.5,105.850060860607,20.9979106596691,1.0,2.0,3.4,5.0,4.0,2.0
52.0,15.95,105.824713404589,21.0096591242327,1.0,2.0,3.2,4.0,4.0,3.0
33.0,7.4,105.768053699295,20.9717544055765,1.0,2.0,4.2,5.0,3.0,4.0
68.0,5.29,105.891089235027,21.023910624848,1.0,0.0,,5.0,3.0,
38.0,6.3,105.847100642219,21.0058265844518,1.0,2.0,,,,
32.0,3.8,105.730358243412,20.9848186058707,1.0,1.0,,5.0,3.0,4.0
75.0,15.0,105.83912917178,20.990877560986,1.0,2.0,,5.0,4.0,
42.0,12.2,105.817199445706,20.9939178250529,1.0,2.0,,7.0,4.0,
66.0,10.5,105.856595799062,20.9951526372898,1.0,1.0,4.0,4.0,4.0,3.0
55.0,29.9,105.8201087,21.012597,1.0,2.0,5.2,7.0,10.0,9.0
34.0,8.0,105.86701216226,20.9978822489842,1.0,2.0,4.5,6.0,4.0,5.0
35.0,5.95,105.774222449525,21.0271566753026,1.0,2.0,,5.0,3.0,4.0
54.0,29.7,105.819918435199,21.0123989131961,1.0,2.0,5.1,7.0,8.0,8.0
32.0,7.5,105.797885200748,21.0179063193596,1.0,2.0,3.8,5.0,4.0,4.0
45.0,9.8,105.877041747563,21.0474099041702,1.0,2.0,3.5,6.0,4.0,
50.0,11.0,105.871938144106,21.0378976592085,1.0,2.0,4.5,5.0,4.0,3.0
25.0,3.7,105.856379298446,21.0091471931298,1.0,2.0,3.2,5.0,3.0,3.0
40.0,13.9,105.825360890091,21.0350510287404,1.0,2.0,5.1,6.0,4.0,5.0
63.0,18.2,105.820313129956,21.0126110048304,1.0,2.0,6.6,5.0,4.0,4.0
36.0,6.6,105.77683141283,20.9663425940662,1.0,1.0,,2.0,,
57.0,7.99,105.850338322082,20.9980382956947,1.0,0.0,10.0,3.0,6.0,5.0
33.0,6.15,105.827758690305,21.0398893903843,1.0,2.0,3.0,5.0,3.0,4.0
36.0,6.6,105.77683141283,20.9663425940662,1.0,1.0,,2.0,,
80.0,20.0,105.7992852,21.0462988,1.0,2.0,10.0,,,
45.0,10.3,105.877024445371,21.0471762667257,1.0,2.0,3.5,6.0,3.0,4.0
40.0,12.0,105.871452671394,21.0471396688654,1.0,2.0,,5.0,4.0,4.0
65.0,11.9,105.872112620769,21.0439694680114,1.0,2.0,5.2,3.0,3.0,3.0
48.0,7.6,105.774105726783,21.023568967696,1.0,2.0,,,,
31.0,5.35,105.909772645399,21.0106199062741,1.0,,4.91,5.0,3.0,
50.0,11.0,105.871938144106,21.0378976592085,1.0,2.0,4.5,5.0,4.0,3.0
