Giá,Diện tích,Số phòng,Quận
7,89,2,Quận Nam Từ Liêm
2.8,48,2,Quận Tây Hồ
3.65,73,2,Quận Long Biên
9.6,104,3,Quận Nam Từ Liêm
6.7,108,3,Quận Cầu Giấy
7.5,112.9,3,Quận Bắc Từ Liêm
1.56,42,1,Huyện Thanh Trì
4.6,74,2,Quận Nam Từ Liêm
4,74,2,Quận Nam Từ Liêm
5500.00,95,2,Quận Hoàng Mai
5.5,77,2,Quận Cầu Giấy
4.1,74,2,Quận Bắc Từ Liêm
3.65,97,2,Quận Long Biên
3,51,,Quận Bắc Từ Liêm
7.6,101,2,Quận Đống Đa
3.7,102.3,3,Quận Thanh Xuân
2,66,2,Huyện Thanh Trì
23,179,4,Quận Nam Từ Liêm
1,30,2,Quận Cầu Giấy
5.95,80,2,Quận Bắc Từ Liêm
7.5,136,3,Quận Tây Hồ
4,82,3,Huyện Đông Anh
7.8,,2,Quận Thanh Xuân
3.85,70,2,Quận Nam Từ Liêm
9,149,3,Quận Cầu Giấy
8.5,130,3,Quận Cầu Giấy
3.1,83,3,Huyện Thanh Trì
2.28,43,1,Huyện Gia Lâm
2.85,57,2,Quận Tây Hồ
7.55,108,3,Quận Đống Đa
5.9,62,2,Quận Nam Từ Liêm
6.7,,2,Quận Cầu Giấy
5.5,77,2,Quận Cầu Giấy
31,200,3,Quận Ba Đình
9.75,94,2,Quận Tây Hồ
3.95,62,3,Quận Nam Từ Liêm
80,127.7,2,Quận Cầu Giấy
57.8,83,2,Quận Nam Từ Liêm
8.55,116.9,3,Quận Cầu Giấy
10,170,3,Quận Nam Từ Liêm
6.7,159,4,Quận Nam Từ Liêm
7,111,3,Quận Cầu Giấy
6.8,71,2,Quận Thanh Xuân
6.5,,2,Quận Thanh Xuân
14,172,4,Quận Thanh Xuân
4.75,121,3,Quận Nam Từ Liêm
7.2,87,2,Quận Nam Từ Liêm
6.6,132,3,Quận Cầu Giấy
9.9,198,4,Quận Nam Từ Liêm
4.2,69,2,Quận Tây Hồ
3.55,80,3,Quận Cầu Giấy
3.45,78,3,Quận Hoàng Mai
3.8,71,2,Quận Cầu Giấy
7.5,,2,Quận Thanh Xuân
3.95,82,3,Quận Nam Từ Liêm
12.1,144.5,3,Quận Cầu Giấy
7.1,100,3,Quận Cầu Giấy
29,57,2,Huyện Thạch Thất
5.4,86,3,Quận Nam Từ Liêm
7.5,153,3,Quận Cầu Giấy
5.57,71,2,Quận Cầu Giấy
7,135,2,Quận Nam Từ Liêm
4.5,70,2,Quận Nam Từ Liêm
6.45,94,3,Quận Bắc Từ Liêm
5.3,89,3,Quận Bắc Từ Liêm
4.35,97,3,Quận Nam Từ Liêm
6.2,82,,Quận Cầu Giấy
3.6,70,2,Quận Cầu Giấy
5,30,,Huyện Ba Vì
4.1,85,3,Quận Nam Từ Liêm
8.2,99.6,3,Quận Cầu Giấy
5.9,72,2,Quận Cầu Giấy
6.7,89,2,Quận Nam Từ Liêm
5.9,76.2,2,Quận Cầu Giấy
5,65,2,Quận Cầu Giấy
4.18,82.7,2,Quận Bắc Từ Liêm
10.2,108,3,Quận Nam Từ Liêm
4,62,2,Quận Cầu Giấy
6,103,3,Quận Nam Từ Liêm
7.1,71,2,Quận Nam Từ Liêm
3.9,90,3,Quận Thanh Xuân
7.6,101,2,Quận Đống Đa
4.3,90,3,Quận Thanh Xuân
3.7,74,1,Quận Nam Từ Liêm
11.2,134,4,Quận Thanh Xuân
8.6,110,3,Quận Cầu Giấy
3.5,60,2,Quận Nam Từ Liêm
6.3,97,2,Quận Cầu Giấy
5.7,73,2,Quận Nam Từ Liêm
5250,116,3,Quận Nam Từ Liêm
7,90,2,Quận Nam Từ Liêm
3.7,68,2,Quận Cầu Giấy
4.6,74,2,Quận Nam Từ Liêm
19,200,4,Quận Nam Từ Liêm
4.45,70,3,Quận Nam Từ Liêm
9.9,132,4,Quận Bắc Từ Liêm
4.5,69,2,Quận Nam Từ Liêm
12.2,104,3,Quận Tây Hồ
5.3,100,3,Quận Cầu Giấy
6.2,90,3,Quận Bắc Từ Liêm
6.8,133,2,Quận Nam Từ Liêm
4.7,80,3,Quận Nam Từ Liêm
10.5,108,3,Quận Nam Từ Liêm
9.8,134.5,2,Quận Cầu Giấy
6,109,3,Quận Bắc Từ Liêm
8,117,3,Quận Nam Từ Liêm
4.6,84,2,Quận Long Biên
1.8,43,1,Quận Bắc Từ Liêm
38,83,3,Quận Hà Đông
